"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Auth Feature","Login with firstname,lastname,email,password,and confirm password","0","0","3","0","0"
"","User Feature","Should Be Able To register","0","0","2","0","0"
"","User Feature","Should Be Able To Login","0","0","3","0","0"
"","Todo Feature","Delete Todo","0","0","3","0","0"
"","Todo Feature","Add Todo","0","0","3","0","0"
"","Auth Feature","Login with Email and Password","0","0","3","0","0"
"","User Feature","Should Not Be Able To Login If Password Is Not Correct","0","1","2","0","0"
"","User Feature","Should Not Be Able To Login With The Same Email","0","0","2","0","0"
"","Auth Feature","Login with the registered email","0","0","3","0","0"
"","Todo Feature","Should Be Able To Add Todo","0","0","3","0","0"
"","Todo Feature","Should Be Able To Delete Todo By ID","0","0","3","0","0"
"","Todo Feature","Should Be Able To Get A Todo By ID","0","0","3","0","0"
"","Auth Feature","","0","4","0","0","0"
"","Todo Feature","Should Not Be Able To Add Todo If Is Completed Missing","0","1","2","0","0"
"","Auth Feature","Login with incorrect Password","0","0","3","0","0"
"","User Feature","Should Not Be Able To Register With The Same Email","0","1","0","0","0"
"","User Feature","Should Be Able To Register","0","0","1","0","0"
