"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 18:31:48 GMT 2023","Mon Mar 13 18:31:52 GMT 2023","3706","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToGetATodoByID","should Be Able To Get A Todo By ID",""
"broken","Mon Mar 13 18:31:51 GMT 2023","Mon Mar 13 18:31:53 GMT 2023","2242","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"passed","Sat Jul 15 09:00:34 GMT 2023","Sat Jul 15 09:00:41 GMT 2023","7432","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.todo.TodoTest","com.qacart.todo.testcases.GUIs.todo.TodoTest","shouldBeAbleToAddNewTodo","Should be able to add a new todo correctly",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5912","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"broken","Sun May 07 09:54:46 GMT 2023","Sun May 07 09:54:46 GMT 2023","1","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","tearDown","tearDown",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:05 GMT 2023","9553","Surefire suite","Surefire test","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","shouldNotBeAbleToRegisterWithTheRegisteredEmail","should Not Be Able To Login With The registered Email","It will try register with the registered email"
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:06 GMT 2023","10062","Surefire suite","Surefire test","com.qacart.todo.testcases.LoginTest","com.qacart.todo.testcases.LoginTest","shouldBeAbleToLoginWithEmailAndPassword","Should be able to login with email and password","It will login by filling the email and the password and navigate to the todo page"
"passed","Mon Mar 13 18:31:48 GMT 2023","Mon Mar 13 18:31:51 GMT 2023","3096","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
"passed","Sat Jul 15 09:00:41 GMT 2023","Sat Jul 15 09:00:45 GMT 2023","3644","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.login.LoginTest","com.qacart.todo.testcases.GUIs.login.LoginTest","shouldBeAbleToLoginWithEmailAndPassword","Should be able to login with email and password","It will login by filling the email and the password and navigate to the todo page"
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:03 GMT 2023","7104","Surefire suite","Surefire test","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","shouldBeAbleToRegisterWithFirstNameAndLastNameAndEmailAndPasswordAndConfirmPassword","Should be able to register with firstname,lastname,email,password,and confirm password","It will register with firstname,lastname,email,password,and confirm password"
